url,status_code,deep,response_time,body_length,body_entropy,js_code_entropy,has_password_field,has_file_upload,has_hidden_fields,num_links,num_html_link,other_link_ratio,n_redirects,num_balise_a,num_balise_img,num_balise_script,num_balise_link,num_balise_style,num_balise_iframe,num_balise_video,num_balise_audio,num_balise_embed,num_balise_object,num_balise_form,num_balise_meta,num_balise_cite,strict_transport_security,x_frame_options,x_content_type_options,content_security_policy,x_xss_protection,referrer_policy,permissions_policy,tech_wordpress,tech_joomla,tech_drupal,tech_laravel,tech_django,tech_express,tech_php,tech_aspnet,tech_jquery,tech_angular,tech_react,total_passive_issues,passive_high_count,passive_critical_count,code_body_total_vulns,code_body_critical_vulns,code_body_medium_vulns,code_body_high_vulns,code_body_low_vulns,code_body_max_score,code_scripts_total_vulns,code_scripts_high_vulns,code_scripts_critical_vulns,code_scripts_medium_vulns,code_scripts_low_vulns,fuzzer_SQLi,fuzzer_CMDi,fuzzer_InsecDeser,fuzzer_InsecUpload,fuzzer_BufOvr,fuzzer_CredsExpose,fuzzer_BrokenAuth,fuzzer_XSS,fuzzer_DirTrav,fuzzer_XXE,fuzzer_NoSQLi,fuzzer_LDAPi,fuzzer_InsecPerm,fuzzer_IDOR,fuzzer_SessFix,fuzzer_SSRF,fuzzer_SSTI,fuzzer_Prototype_Pollution,fuzzer_HTTP_Request_Smuggling,fuzzer_XPATH_Injection,fuzzer_GraphQLi,fuzzer_CORS,fuzzer_CSRF,fuzzer_RateLimit,fuzzer_InfoDisc,fuzzer_InsecCrypto,fuzzer_OpenRedirect,fuzzer_JWT,fuzzer_CRLF_Injection,fuzzer_RaceCondition,num_active_test,fuzer_ratio_vuln,fuzzer_ratio_indicators_matched,fuzzer_ration_status_changed,fuzzer_ratio_headers_changed,fuzzer_ratio_body_changed,fuzzer_max_score,labels
http://localhost:5000/,200,0,0.0,2935,4.818715182734147,0.0,0,0,0,21,14,0.3333333333333333,0,14,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2549,0.0,0.0,0.0,0.0,0.0,0.53,[]
http://localhost:5000/login,200,0,0.01,1417,4.940430972982409,0.0,1,0,0,8,7,0.125,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,2,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4395,0.0,0.0,0.02366325369738339,0.0,0.29488054607508535,50.89,"['SQLi', 'InfoDisc', 'BrokenAuth', 'JWT', 'RateLimit']"
http://localhost:5000/search?q=test,200,0,0.01,1336,4.820836078072732,0.0,0,0,0,8,7,0.125,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,0.13333333333333333,0.13025210084033614,0.07352941176470588,0.0,0.28851540616246496,67.47,['XSS']
http://localhost:5000/product/1,200,0,0.02,119468,3.985253129399552,0.0,0,0,0,8,6,0.25,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3651,0.0,0.0,0.046562585592988225,0.0,0.8279923308682553,51.0,"['IDOR', 'XSS']"
http://localhost:5000/profile/alice,200,0,0.01,2089,4.839368273447628,0.0,0,0,0,8,7,0.125,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3319,0.0,0.0,0.06417595661343778,0.0,0.06598373003916842,52.25,"['IDOR', 'InfoDisc']"
http://localhost:5000/admin,200,0,0.01,2080,4.8419566786193045,0.0,0,0,0,7,6,0.14285714285714285,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209,0.0,0.0,0.032408850109068243,0.0,0.03396696790277345,50.87,['InsecPerm']
http://localhost:5000/upload,200,0,0.01,1362,4.893712868123338,0.0,0,1,0,8,7,0.125,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,2,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4395,0.0,0.0,0.02366325369738339,0.0,0.2712172923777019,50.97,['InsecUpload']
http://localhost:5000/file?name=README.md,200,0,0.01,1624,5.05059582127491,0.0,0,0,0,7,6,0.14285714285714285,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,5,0,3,13,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1577,0.13333333333333333,0.11984781230183894,0.06594800253646163,0.0,0.16106531388712747,67.1,['DirTrav']
http://localhost:5000/ping,200,0,0.01,1562,4.9992353296382905,0.0,0,0,0,7,6,0.14285714285714285,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,2,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4395,0.0,0.0,0.02366325369738339,0.0,0.13014789533560864,50.94,['CMDi']
http://localhost:5000/fetch-image,200,0,0.01,1503,4.992778191844836,0.0,0,0,0,7,6,0.14285714285714285,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,2,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4395,0.0,0.0,0.02366325369738339,0.0,0.13014789533560864,51.0,['SSRF']
http://localhost:5000/cart/import,200,0,0.01,1531,4.976643067304952,0.0,0,0,0,8,7,0.125,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,2,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4505,0.0,0.0,0.047502774694783576,0.0,0.1864594894561598,51.2,['InsecDeser']
http://localhost:5000/account/change-email,200,0,0.01,1407,4.941482114974154,0.0,0,0,0,8,7,0.125,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4505,0.0,0.0,0.047502774694783576,0.0,1.0,51.01,['CSRF']
http://localhost:5000/reset-password,200,0,0.01,1222,4.893161620517813,0.0,0,0,0,7,6,0.14285714285714285,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4395,0.0,0.0,0.02366325369738339,0.0,0.13014789533560864,50.92,['BrokenAuth']
http://localhost:5000/comments,200,0,0.06,451535,3.9569101723026523,0.0,0,0,0,7,6,0.14285714285714285,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,2,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629,0.0,0.0,0.0374462860650706,0.0,0.21608348680171885,51.0,['XSS']
http://localhost:5001/,200,0,0.01,5620,5.287013480449899,0.0,0,0,0,70,42,0.4,0,70,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78,3,0,9,0,5,13,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2549,0.0,0.0,0.0,0.0,0.0,0.21,[]
http://localhost:5001/xss/reflected,200,0,0.0,197,4.635508641913566,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2246,0.13333333333333333,0.07079252003561888,0.09082813891362422,0.003561887800534283,0.12956366874443456,70.58,['XSS']
http://localhost:5001/xss/stored,200,0,0.0,30499,3.9928397159736213,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289,0.0,0.0,0.03413498836307215,0.0,0.560899922420481,17.17,['XSS']
http://localhost:5001/xss/header,200,0,0.0,128,5.205869214908246,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2619,0.0,0.003436426116838488,0.061092019854906456,0.0030546009927453228,0.06681939671630394,52.27,['XSS']
