num_balise_a,num_balise_img,num_balise_script,num_balise_link,num_balise_style,num_balise_iframe,num_balise_video,num_balise_audio,num_balise_embed,num_balise_object,num_balise_form,num_balise_meta,num_balise_cite,status_code,deep,response_time,body_length,body_entropy,js_code_entropy,has_password_field,has_file_upload,has_hidden_fields,num_links,num_html_link,other_link_ratio,n_redirects,is_json,json_num_keys,json_depth,json_num_suspicious_keys,json_is_array,json_avg_value_length,strict_transport_security,x_frame_options,x_content_type_options,content_security_policy,x_xss_protection,referrer_policy,permissions_policy,tech_wordpress,tech_joomla,tech_drupal,tech_laravel,tech_django,tech_express,tech_php,tech_aspnet,tech_jquery,tech_angular,tech_react,total_passive_issues,passive_high_count,passive_critical_count,code_body_total_vulns,code_body_critical_vulns,code_body_medium_vulns,code_body_high_vulns,code_body_low_vulns,code_body_max_score,code_scripts_total_vulns,code_scripts_high_vulns,code_scripts_critical_vulns,code_scripts_medium_vulns,code_scripts_low_vulns,fuzzer_SQLi,fuzzer_CMDi,fuzzer_InsecDeser,fuzzer_InsecUpload,fuzzer_BufOvr,fuzzer_CredsExpose,fuzzer_BrokenAuth,fuzzer_XSS,fuzzer_DirTrav,fuzzer_XXE,fuzzer_NoSQLi,fuzzer_LDAPi,fuzzer_InsecPerm,fuzzer_IDOR,fuzzer_SessFix,fuzzer_SSRF,fuzzer_SSTI,fuzzer_Prototype_Pollution,fuzzer_HTTP_Request_Smuggling,fuzzer_XPATH_Injection,fuzzer_GraphQLi,fuzzer_CORS,fuzzer_CSRF,fuzzer_RateLimit,fuzzer_InfoDisc,fuzzer_InsecCrypto,fuzzer_OpenRedirect,fuzzer_JWT,fuzzer_CRLF_Injection,fuzzer_RaceCondition,num_active_test,fuzer_ratio_vuln,fuzzer_ratio_indicators_matched,fuzzer_ration_status_changed,fuzzer_ratio_headers_changed,fuzzer_ratio_body_changed,fuzzer_max_score,url,labels
0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,49.59,153,4.599963902086099,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,0.0333333333333333,0.0,1.0,0.8578643578643579,1.0,60.83,http://localhost:5050/products/sqli-union_select_id,['SQLi']
0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,77.53,153,4.599963902086099,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,318,0.2,0.0534591194968553,1.0,0.3805031446540881,1.0,75.57,http://localhost:5050/users/nosqli-auth_operator_bypass,['NoSQLi']
0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,93.66,153,4.599963902086099,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,589,0.2,0.0831918505942275,1.0,0.66553480475382,1.0,63.24,http://localhost:5050/orders/ssrf-url_fetch_json_webhook,['SSRF']
0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,117.74,153,4.599963902086099,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,0.0333333333333333,0.0,1.0,0.8578643578643579,1.0,60.83,http://localhost:5050/invoices/openredirect-post_login_next_param,['OpenRedirect']
0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,88.18,153,4.599963902086099,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,0.0333333333333333,0.0,1.0,0.8584837545126354,1.0,60.83,http://localhost:5050/files/insecupload-no_extension_whitelist,['InsecUpload']
0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,84.56,153,4.599963902086099,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,595,0.2,0.0823529411764705,1.0,0.6672268907563025,1.0,63.03,http://localhost:5050/images/ssrf-url_fetch_json_webhook,['SSRF']
0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,107.26,153,4.599963902086099,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,0.0333333333333333,0.0,1.0,0.7267683772538142,1.0,60.83,http://localhost:5050/reports/ratelimit-login_endpoint_no_throttle,['RateLimit']
0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,83.15,153,4.599963902086099,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,0.0333333333333333,0.0,0.9917582417582418,0.7197802197802198,0.9917582417582418,60.83,http://localhost:5050/messages/sqli-union_select_id,['SQLi']
0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,83.18,153,4.599963902086099,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,327,0.2,0.0519877675840978,1.0,0.3975535168195718,1.0,75.54,http://localhost:5050/projects/nosqli-auth_operator_bypass,['NoSQLi']
0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,94.92,153,4.599963902086099,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,466,0.2,0.0643776824034334,1.0,0.5708154506437768,1.0,63.33,http://localhost:5050/tasks/ssrf-url_fetch_json_webhook,['SSRF']
